snapshot_key,snapshot_id,unique_user_id,first_purchase_date,last_purchase_date,obs_date,is_churned_30d,is_churned_60d,is_churned_90d,is_churned_180d,is_churned_270d,total_orders,total_gmv,days_since_last_order,customer_age_days,avg_rating,rating_std,bad_review_count,avg_delivery_days,delayed_orders,category_diversity,total_category_purchases,total_category_gmv,dominant_category,cat_purchase_beleza_saude,cat_purchase_brinquedos,cat_purchase_cama_mesa_banho,cat_purchase_esporte_lazer,cat_purchase_fashion_bolsas_e_acessorios,cat_purchase_informatica_acessorios,cat_purchase_moveis_decoracao,cat_purchase_perfumaria,cat_purchase_relogios_presentes,cat_purchase_utilidades_domesticas,cat_gmv_beleza_saude,cat_gmv_brinquedos,cat_gmv_cama_mesa_banho,cat_gmv_esporte_lazer,cat_gmv_fashion_bolsas_e_acessorios,cat_gmv_informatica_acessorios,cat_gmv_moveis_decoracao,cat_gmv_perfumaria,cat_gmv_relogios_presentes,cat_gmv_utilidades_domesticas,customer_state,customer_city,target,avg_rating_was_missing,rating_std_was_missing,avg_delivery_days_was_missing,order_count,total_spent,days_per_order,orders_per_month,avg_order_value,gmv_per_day,recency_ratio,is_recent_active,is_satisfied,has_bad_review,delay_rate,has_delay,state_encoded,first_purchase_month,first_purchase_quarter,last_purchase_month,last_purchase_quarter,churn_probability,risk_level,is_high_value
5ad31e19d737a51f803e6986bbd119ff__20170903,4,5ad31e19d737a51f803e6986bbd119ff,2017-07-11 09:55:09,2017-07-11 11:47:04,2017-09-03 15:00:37,1,1,1,1,1,2,451.34,54,54,4.0,0.0,0.0,9.5,0.0,1,2,451.34,telefonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PR,guarapuava,1,0,0,0,2,451.34,18.0,0.7142857142857143,150.44666666666666,8.206181818181818,0.9818181818181818,0,1,0,0.0,0,16,7,3,7,3,0.8409521720807428,High Risk,1
5ad96d7a95788923e8ff455366a90015__20170804,3,5ad96d7a95788923e8ff455366a90015,2017-03-31 01:33:15,2017-06-17 21:09:49,2017-08-04 15:00:37,1,1,1,1,1,2,626.18,48,126,5.0,0.0,0.0,8.0,0.0,2,2,626.1800000000001,relogios_presentes,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,79.73,0.0,0.0,0.0,0.0,546.45,0.0,SP,cacapava,1,0,0,0,2,626.18,42.0,0.3846153846153846,208.72666666666666,4.930551181102362,0.3779527559055118,0,1,0,0.0,0,23,3,1,6,2,0.8354657209946874,High Risk,1
5c4b7aa014e584d78525c38717510f01__20170705,2,5c4b7aa014e584d78525c38717510f01,2017-05-10 19:40:39,2017-05-10 19:40:40,2017-07-05 15:00:37,1,1,1,1,1,2,433.44,56,56,5.0,0.0,0.0,13.0,0.0,1,3,433.44,esporte_lazer,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.44,0.0,0.0,0.0,0.0,0.0,0.0,RS,palmeira das missoes,1,0,0,0,2,433.44,18.666666666666668,0.6976744186046512,144.48,7.604210526315789,0.9824561403508771,0,1,0,0.0,0,20,5,2,5,2,0.8377393024513821,High Risk,1
608646d3514cc48a27d666e313cfe0cc__20170903,4,608646d3514cc48a27d666e313cfe0cc,2017-07-14 17:10:11,2017-07-14 17:10:12,2017-09-03 15:00:37,1,1,1,1,1,2,469.37,51,51,1.0,0.0,2.0,10.5,0.0,2,2,469.37,casa_conforto,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SP,varzea paulista,1,0,0,0,2,469.37,17.0,0.7407407407407407,156.45666666666668,9.026346153846154,0.9807692307692307,0,0,1,0.0,0,23,7,3,7,3,0.8902587733960052,High Risk,1
64e9a736591627c469dae6f3d1592a61__20170804,3,64e9a736591627c469dae6f3d1592a61,2017-06-08 20:02:41,2017-06-08 20:02:42,2017-08-04 15:00:37,1,1,1,1,1,2,603.16,57,57,4.0,1.0,0.0,21.6667,0.0,1,2,603.16,perfumaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603.16,0.0,0.0,PE,taquaritinga do norte,1,0,0,0,2,603.16,19.0,0.6896551724137931,201.0533333333333,10.399310344827585,0.9827586206896551,0,1,0,0.0,0,14,6,2,6,2,0.8942502803242818,High Risk,1
6bb535b0906b43e0041916897667aeed__20171102,6,6bb535b0906b43e0041916897667aeed,2017-06-08 22:46:23,2017-09-17 18:12:09,2017-11-02 15:00:37,1,1,1,1,1,3,1195.23,46,147,3.6667,1.8856180831641267,1.0,14.5,0.0,2,5,1195.23,cama_mesa_banho,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1008.61,0.0,0.0,0.0,186.62,0.0,0.0,0.0,SC,garopaba,1,0,0,0,3,1195.23,36.75,0.5084745762711864,298.8075,8.075878378378379,0.3108108108108108,0,0,1,0.0,0,21,6,2,9,3,0.8408433808812201,High Risk,1
6c70bee45f245a4ebeddb2ece21b567d__20170804,3,6c70bee45f245a4ebeddb2ece21b567d,2017-05-03 21:31:55,2017-07-03 20:50:49,2017-08-04 15:00:37,1,1,1,1,1,2,586.37,32,93,3.0,1.0,1.0,18.5,0.0,1,2,586.37,esporte_lazer,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586.37,0.0,0.0,0.0,0.0,0.0,0.0,RJ,rio de janeiro,1,0,0,0,2,586.37,31.0,0.48780487804878053,195.45666666666668,6.237978723404256,0.3404255319148936,0,0,1,0.0,0,17,5,2,7,3,0.9101902704606843,High Risk,1
6ee2f345f4f2fbd1cafb6447a6b37642__20170804,3,6ee2f345f4f2fbd1cafb6447a6b37642,2017-06-01 22:44:23,2017-06-08 23:28:16,2017-08-04 15:00:37,1,1,1,1,1,2,387.59,57,64,3.5,0.5,0.0,12.5,0.0,1,2,387.59,cama_mesa_banho,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PR,foz do iguacu,1,0,0,0,2,387.59,21.333333333333332,0.6382978723404256,129.19666666666666,5.962923076923077,0.8769230769230769,0,0,0,0.0,0,16,6,2,6,2,0.8362106266432927,High Risk,1
71d2dbb6d2f52d568ca9d69c815a4331__20170804,3,71d2dbb6d2f52d568ca9d69c815a4331,2017-03-29 02:00:08,2017-06-17 09:36:39,2017-08-04 15:00:37,1,1,1,1,1,2,386.59,48,128,5.0,0.0,0.0,5.0,0.0,2,2,386.59000000000003,esporte_lazer,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,309.74,0.0,0.0,0.0,76.85,0.0,0.0,SP,sao paulo,1,0,0,0,2,386.59,42.666666666666664,0.379746835443038,128.86333333333332,2.996821705426356,0.37209302325581395,0,1,0,0.0,0,23,3,1,6,2,0.8380096986329942,High Risk,1
730e4b7ede33b484516435d39ab4dc49__20170804,3,730e4b7ede33b484516435d39ab4dc49,2017-02-14 10:44:33,2017-06-07 00:19:14,2017-08-04 15:00:37,1,1,1,1,1,2,413.97,58,171,1.0,0.0,2.0,9.5,0.0,2,2,413.97,ferramentas_jardim,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.44,0.0,0.0,0.0,0.0,RJ,rio de janeiro,1,0,0,0,2,413.97,57.0,0.29850746268656714,137.99,2.4068023255813955,0.3372093023255814,0,0,1,0.0,0,17,2,1,6,2,0.8415945740014056,High Risk,1
